Protocol ID,Command Name,Client Write Field Order,Server Read Field Order,Server Write Field Order,Client Read Field Order,Status,Notes
-1,HANDSHAKE_SESSION_KEY,None,None,byte[] rawKeyBytes,byte[] rawKeyBytes,VERIFIED,Exchanges initial XOR rolling key before secure streaming starts
1,LOGIN_REQUEST,String user; String pass; String version; String client_id,String user; String pass; String version; String client_id,short status_code; String msg (if fail),short status_code; String msg (if fail),VERIFIED,Opcode reused on response: 3 = Success; 4 = Fail
6,REQUEST_ROOMLIST,None,None,byte numRooms; [byte roomId; byte roomStatus; byte pad; byte roomType],byte numRooms; [byte roomId; byte roomStatus; byte pad; byte roomType],VERIFIED,Dynamic loop bounded by numRooms byte counter
8,JOIN_BOARD,byte boardId; String pass,byte boardId; String pass,byte mapId; byte timeLimit; byte maxPlayers; byte roomMode,byte mapId; byte timeLimit; byte maxPlayers; byte roomMode,VERIFIED,Triggers wait room transition upon confirmation
16,READY,byte isReady,byte isReady,byte playerIndex; byte isReady,byte playerIndex; byte isReady,VERIFIED,Broadcasts readiness flags to all room seats
21,MOVE_ARMY,byte activeIndex; short targetX; short targetY,byte activeIndex; short targetX; short targetY,byte activeIndex; short targetX; short targetY,byte activeIndex; short targetX; short targetY,VERIFIED,Continuous position broadcast loop with frame sequence stamps
22,FIRE_ARMY,byte typeShoot; byte critical; byte whoFire; byte type; short xS; short yS; short angle; [byte force_2 / byte angle force],byte typeShoot; byte critical; byte whoFire; byte type; short xS; short yS; short angle; conditional fields,byte typeShoot; byte critical; byte whoFire; byte type; short xS; short yS; short angle; array data,byte typeShoot; byte critical; byte whoFire; byte type; short xS; short yS; short angle; array data,VERIFIED,Highly conditional inner field composition based on weapon type enum
23,SHOOT_RESULT,None,None,int teamScore; byte numHits; [int hitPlayerIndex; short damageDealt],int teamScore; byte numHits; [int hitPlayerIndex; short damageDealt],VERIFIED,Server authoritative score payload calculation confirmation
24,NEXT_TURN,None,None,byte activeIndex; short windForce; boolean windDirection,byte activeIndex; short windForce; boolean windDirection,VERIFIED,Resets client input controls and shifts canvas target locks
42,PING,None,None,None,None,VERIFIED,Heartbeat check packet. Reused bi-directionally without body payload
51,UPDATE_HP,None,None,int targetPlayerIndex; short newHpValue; boolean isCritical,int targetPlayerIndex; short newHpValue; boolean isCritical,VERIFIED,Server authoritative damage decrement payload application
53,UPDATE_XY,None,None,byte targetPlayerIndex; short authoritativeX; short authoritativeY,byte targetPlayerIndex; short authoritativeX; short authoritativeY,VERIFIED,Enforces client position reconciliation adjustments instantly
90,GET_FILEPACK,byte subPackIndex,byte subPackIndex,int totalLength; int chunkOffset; byte[] chunkBytes,int totalLength; int chunkOffset; byte[] chunkBytes,VERIFIED,Transfers large compressed game asset zip streams in sliced boundaries
